Symbol,amount to be registered
PHM,262966121
PVH,71359730
QRVO,112586812
PWR,139346092
QCOM,1128000000
DGX,130638109
RL,73131312
RJF,137418106
RTX,1515089870
O,373569122
REG,169862160
REGN,106543805
RF,961285396
RSG,319338833
RMD,145517832
RHI,112780592
ROK,116076695
ROL,492123516
ROP,105239028
ROST,357120667
RCL,254570657
SPGI,240900000
CRM,926000000
SBAC,109344636
SLB,1398332463
STX,228873365
SEE,151989913
SRE,302760705
NOW,197447987
SHW,265949600
SPG,328539392
SWKS,165092532
SNA,54079984
SO,1058630385
LUV,591376576
SWK,161494767
SBUX,1178300000
STT,347768272
STE,85376813
SYK,376747866
SIVB,54315140
SYF,581598847
SNPS,152574904
SYY,511581899
TMUS,1246857781
TROW,226855575
TTWO,115656093
TPR,278858331
TGT,497571030
TEL,330433226
TDY,37067616
TFX,46732674
TER,166266321
TSLA,963330448
TXN,923523523
TXT,225708875
TMO,393027886
TJX,1206487186
TSCO,115255974
TT,239147507
TDG,54892142
TRV,251465267
TRMB,250965073
TFC,1344845000
TWTR,798126631
TYL,40738702
TSN,365000000
UDR,296834603
ULTA,54757556
USB,1489677942
UAA,456991115
UA,456991115
UNP,664302521
UAL,323578254
UNH,943702120
UPS,870532608
URI,72378142
UHS,85229415
UNM,204240512
VLO,408760165
VTR,375053524
VRSN,112751950
VRSK,162091206
VZ,4140067633
VRTX,258865671
VFC,392151904
VIAC,646293829
VTRS,1208655503
V,1979887618
VNO,191464658
VMC,132665247
WRB,177380548
WAB,188997682
WMT,2802145927
WBA,864394418
DIS,1816932058
WM,422040583
WAT,61700498
WEC,315434531
WFC,4133571501
WELL,417520500
WST,73823701
WDC,306452886
WU,409252217
WRK,266116343
WY,749215000
WHR,62624750
WMB,1214762352
WLTW,128976752
WYNN,115658123
XEL,538206800
XLNX,245840000
XYL,180041590
YUM,297901153
ZBRA,53511255
ZBH,208482101
ZION,163815613
ZTS,474973405
